,nome,porcentagem_desconto,preco,tipo
130,mortal kombat 11 ultimate,80,55.99,padrao
131,dragon ball z kakarot,0,159.9,padrao
132,blasphemous,75,14.97,padrao
133,euro truck simulator 2  brazilian paint jobs pack,0,2.49,dlc
134,batman arkham collection,85,41.99,padrao
135,sid meiers civilization v brave new world,0,44.99,dlc
136,tales of vesperia definitive edition,80,27.98,padrao
137,broforce,0,24.99,padrao
138,subnautica,40,34.79,padrao
139,middleearth shadow of war  the blade of galadriel story expansion,82,8.09,dlc
140,devil may cry 3  special edition,0,39.99,padrao
141,euro truck simulator 2  vive la france,0,44.99,dlc
142,star wars the force unleashed ii,0,37.99,padrao
143,xbox  cartao presente digital 15 reais,0,15.0,padrao
144,scribblenauts unlimited,94,4.5,padrao
145,frostpunk  season pass,0,78.02,dlc
146,xbox  cartao presente digital 200 reais,0,200.0,padrao
147,skul the hero slayer,0,37.99,padrao
148,legend of kay anniversary,0,36.99,padrao
149,middleearth shadow of war  expansion pass,94,3.5,dlc
150,motogp 21,0,93.99,padrao
151,lego marvel vingadores deluxe edition,94,6.5,padrao
152,quantum break,0,72.99,padrao
153,naruto shippuden ultimate ninja storm revolution,0,55.99,padrao
154,s.t.a.l.k.e.r. shadow of chernobyl,0,34.99,padrao
155,xbox  cartao presente digital 10 reais,0,10.0,padrao
156,cult of the lamb,0,64.95,padrao
157,xbox  cartao presente digital 25 reais,0,25.0,padrao
158,crunchyroll fan  1 mes,0,14.99,padrao
159,tales of symphonia,50,18.49,padrao
160,lego batman,94,4.5,padrao
161,lego city undercover,90,8.99,padrao
162,lego the lord of the rings,0,89.99,padrao
163,lego marvel super heroes 2 deluxe edition,94,8.0,padrao
164,mortal kombat 11,90,22.99,padrao
165,hotline miami,0,16.99,padrao
166,ni no kuni ii revenant kingdom  the princes edition,85,32.98,padrao
167,freedom fighters,80,5.79,padrao
168,hotline miami 2 wrong number  digital special edition,0,34.99,padrao
169,monster hunter rise,0,139.9,padrao
170,euro truck simulator 2  beyond the baltic sea,0,44.99,dlc
171,wolcen lords of mayhem,0,75.49,padrao
172,lego star wars  the complete saga,0,37.99,padrao
173,the walking dead,0,28.99,padrao
174,euro truck simulator 2  high power cargo pack,0,10.49,dlc
175,blair witch,75,14.49,padrao
176,monster hunter world iceborne,0,89.99,dlc
177,devil may cry 5 deluxe + vergil,0,119.99,padrao
178,kingdom come deliverance  royal edition,0,69.99,padrao
179,shadow warrior 2,0,72.99,padrao
180,injustice 2  legendary edition,85,41.99,padrao
181,xbox  cartao presente digital 50 reais,0,50.0,padrao
182,the universim,0,55.99,padrao
183,starship troopers  terran command,0,57.99,padrao
184,minecraft java and bedrock edition,0,129.0,padrao
185,mortal kombat 11 kombat pack 1,90,5.99,dlc
186,crunchyroll mega fan  1 mes,0,19.99,padrao
187,crypt of the necrodancer,0,27.99,padrao
188,dying light definitive edition,80,24.99,padrao
